"TrueConc","BiasApprox","BiasWinP","BiasConc","CoverageApprox","CoverageWinP","CoverageConcNormal","CoverageConcBoot","TotalSampleSize","Ratio","VarRatio","ValidRuns"
0.760249938906523,-0.689542892958272,-0.255712417046222,-0.255712417046322,0.94,0.95,0.95,0.935,500,5,1,200
0.760249938906523,-0.531636597756364,-0.0682723578922333,-0.0682723578915254,0.965,0.95,0.975,0.945,1000,5,1,200
0.760249938906523,-0.443937569368427,0.116251020192376,0.116251020193251,0.93,0.94,0.955,0.92,2000,5,1,200
0.718148569174613,0.819356298196969,-0.514633463720902,-0.514633463720911,0.905,0.96,0.86,0.96,100,0.5,2,200
0.718148569174613,1.17278591020367,0.0381223798704846,0.0381223798705084,0.92,0.95,0.915,0.965,500,0.5,2,200
0.718148569174613,1.2502343289424,0.0351599336997863,0.0351599336999722,0.885,0.96,0.895,0.965,1000,0.5,2,200
0.718148569174613,1.45888279902225,0.24325355706709,0.243253557067189,0.825,0.95,0.89,0.94,2000,0.5,2,200
0.718148569174613,-0.161597296710904,0.0333400128696819,0.0333400128697248,0.935,0.96,0.87,0.95,100,1,2,200
0.718148569174613,-0.881991240606397,-0.616508806764192,-0.616508806764322,0.97,0.97,0.92,0.965,500,1,2,200
0.718148569174613,-0.483261130441462,-0.178847278925718,-0.178847278925813,0.925,0.935,0.88,0.925,1000,1,2,200
0.718148569174613,-0.396636729974026,-0.103118519817371,-0.103118519816113,0.97,0.975,0.89,0.965,2000,1,2,200
0.718148569174613,-1.84285344061465,-0.381747407340535,-0.381747407340534,0.98,0.98,0.92,0.965,100,2,2,200
0.718148569174613,-1.5634335635881,0.00738644009113856,0.00738644009117044,0.935,0.945,0.915,0.95,500,2,2,200
0.718148569174613,-1.75344775485473,-0.157857755042895,-0.157857755043038,0.915,0.935,0.915,0.935,1000,2,2,200
0.718148569174613,-1.49941208723033,0.133488504496848,0.133488504495705,0.835,0.93,0.895,0.925,2000,2,2,200
0.718148569174613,-2.50854633777812,0.278530310833791,0.278530310833799,0.975,0.965,0.92,0.955,100,5,2,200
0.718148569174613,-2.9914316697829,-0.06537750331124,-0.0653775033113237,0.925,0.94,0.925,0.93,500,5,2,200
0.718148569174613,-2.88522770388129,-0.000441037054093287,-0.000441037053503657,0.885,0.96,0.955,0.95,1000,5,2,200
0.718148569174613,-2.8638155052457,0.0315675233341906,0.0315675233349972,0.715,0.975,0.98,0.975,2000,5,2,200
0.658454300845196,4.07012106186425,0.302405030403251,0.30240503040324,0.845,0.945,0.69,0.92,100,0.5,5,200
0.658454300845196,4.06247684748937,0.111430589723152,0.111430589723173,0.765,0.93,0.665,0.92,500,0.5,5,200
0.658454300845196,3.93987215797002,-0.0644842746289431,-0.0644842746288086,0.685,0.95,0.72,0.95,1000,0.5,5,200
